run_id;arquivo_instancia;ninst;tem_janelas;heuristica_retirada;tamanho_clientes;nos_rede;veiculos;capacidade;tabu;tipo_geracao;tempo_exato;tempo_bp;fo_exato;fo_bp;gap_pct;igual_exato;nos_bp;colunas_bp;seq_exato;seq_bp;timestamp
tam25_cap200_tabu0_inst0_cons10;instancias/c206,txt;0;0;10;25;27;3;200;0;PD;1202,2047;3616,8991;266,5696;278,4903;4,4719;0;51;1425;"V0: [0,5,2,1,7,3,4,26] ; V1: [0,20,22,24,6,23,18,19,17,25,21,26] ; V2: [0,12,14,16,15,13,9,11,10,8,26]";"V0: [0,2,12,14,16,15,13,9,11,10,26] ; V1: [0,20,22,24,6,23,18,19,17,25,21,8,26] ; V2: [0,5,1,7,3,4,26]";27/03/2026 08:30
tam25_cap200_tabu0_inst0_cons10;instancias/c207,txt;0;0;10;25;27;3;200;0;PD;1203,0579;3632,0883;264,6319;266,7108;0,7856;0;59;2862;"V0: [0,5,2,1,7,3,4,26] ; V1: [0,8,9,15,19,16,14,12,11,10,26] ; V2: [0,20,22,24,6,23,18,17,13,25,21,26]";"V0: [0,10,9,13,15,17,25,21,26] ; V1: [0,20,22,24,6,23,18,19,16,14,12,11,8,26] ; V2: [0,5,2,1,7,3,4,26]";27/03/2026 09:51
tam25_cap200_tabu0_inst0_cons10;instancias/c208,txt;0;0;10;25;27;3;200;0;PD;1202,6677;3738,814;265,8097;265,8097;0;1;136;2850;"V0: [0,12,14,16,19,15,13,9,11,10,8,26] ; V1: [0,5,2,1,7,3,4,26] ; V2: [0,20,22,24,6,23,18,17,25,21,26]";"V0: [0,20,22,24,6,23,18,17,25,21,26] ; V1: [0,12,14,16,19,15,13,9,11,10,8,26] ; V2: [0,5,2,1,7,3,4,26]";27/03/2026 11:13
tam25_cap200_tabu0_inst0_cons10;instancias/r101,txt;0;0;10;25;27;3;200;0;PD;0,7696;226,6928;-1;-1;;;0;0;SEM_SEQUENCIA_EXATO;SEM_SEQUENCIA_BP;27/03/2026 11:17
tam25_cap200_tabu0_inst0_cons10;instancias/r102,txt;0;0;10;25;27;3;200;0;PD;514,1908;3600,0634;-1;-1;;;0;0;SEM_SEQUENCIA_EXATO;SEM_SEQUENCIA_BP;27/03/2026 12:25
tam25_cap200_tabu0_inst0_cons10;instancias/c101.txt;0;0;10;25;27;3;200;0;PD;0.1801;289.022;-1;-1;;;0;0;SEM_SEQUENCIA_EXATO;SEM_SEQUENCIA_BP;27/03/2026 15:41
tam25_cap200_tabu0_inst0_cons10;instancias/c102.txt;0;0;10;25;27;3;200;0;PD;235.499;1.048.482;1.907.376;2.021.078;59.612;0;1;1506;"V0: [0,7,8,10,11,9,6,4,2,1,3,5,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,13,17,18,19,15,16,14,12,26]";"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,20,24,25,23,22,26] ; V2: [0,21,7,8,10,11,9,6,4,2,1,3,5,26]";27/03/2026 15:43
tam25_cap200_tabu0_inst0_cons10;instancias/c103.txt;0;0;10;25;27;3;200;0;PD;12.012.299;2.067.045;1.907.376;1.969.836;32.746;0;1;1506;"V0: [0,20,24,25,23,22,21,26] ; V1: [0,13,17,18,19,15,16,14,12,26] ; V2: [0,7,8,10,11,9,6,4,2,1,3,5,26]";"V0: [0,20,24,25,23,22,21,26] ; V1: [0,13,17,18,19,15,16,14,12,1,26] ; V2: [0,7,8,10,11,9,6,4,2,3,5,26]";27/03/2026 16:07
tam25_cap200_tabu0_inst0_cons10;instancias/c101N.txt;0;0;10;25;27;3;200;0;PD;1.378.427;1.084.146;1.918.136;1.918.136;0.0;1;1;975;"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,5,3,7,8,10,11,9,6,4,2,1,26]";"V0: [0,5,3,7,8,10,11,9,6,4,2,1,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,13,17,18,19,15,16,14,12,26]";27/03/2026 16:37
tam25_cap200_tabu0_inst0_cons10;instancias/c102.txt;0;0;10;25;27;3;200;0;PD;234.754;2.578.523;1.907.376;1.907.376;0.0;1;1;1506;"V0: [0,7,8,10,11,9,6,4,2,1,3,5,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,13,17,18,19,15,16,14,12,26]";"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,7,8,10,11,9,6,4,2,1,3,5,26]";27/03/2026 16:42
