iteracao;valor_fo
392;7272878.302548
393;7272878.005586
394;7272878.002493
395;7272877.816807
396;7272877.539635
397;7272877.527493
398;7272877.512144
399;7272877.512144
400;7272877.436797
401;7272876.772772
402;7272876.772772
403;7272876.199987
404;7272876.137910
405;7272875.651141
406;7272875.614182
407;7272875.540609
408;7272875.540609
409;7272875.540609
410;7272875.540609
411;7272875.173119
412;7272875.173119
413;7272875.173119
414;7272875.173119
415;7272875.173119
416;7272875.173119
417;7272875.173119
418;7272874.864223
419;7272874.864223
420;7272874.864223
421;7272874.864223
422;7272874.864223
423;7272874.864223
424;7272874.864223
425;7272874.864223
426;7272874.864223
427;7272874.556303
428;7272874.533981
429;7272874.528295
430;7272874.494946
431;7272874.407052
432;7272874.407052
433;7272874.308831
434;7272874.305547
435;7272874.289600
436;7272874.274719
437;7272874.269033
438;7272874.254284
439;7272874.250153
440;7272874.250153
441;7272874.247714
442;7272874.247336
443;7272874.246959
444;7272874.246959
445;7272874.246959
446;7272874.246959
447;7272873.929305
448;7272873.929305
449;7272873.696585
450;7272873.696585
451;7272873.502168
452;7272871.529458
453;7272871.529458
454;7272871.529458
455;7272871.529458
456;7272871.529458
457;7272871.518347
458;7272871.518347
459;7272871.500228
460;7272871.254354
461;7272871.002044
462;7272870.753576
463;7272870.753576
464;7272870.753576
465;7272870.753576
466;7272870.753576
467;7272870.753576
468;7272870.669177
469;7272870.664688
470;7272865.606187
471;7272865.606187
472;7272865.606187
473;7272865.606187
474;7272865.606187
475;7272865.606187
476;7272865.606187
477;7272865.606187
478;7272865.606187
479;7272865.606187
480;7272865.606187
481;7272865.606187
482;7272865.606187
483;7272865.602453
484;7272865.601473
485;7272865.601473
486;7272865.601473
487;7272865.601473
488;7272864.388735
489;7272864.358330
490;7272864.358330
491;7272864.338083
492;7272864.298009
493;7272864.298009
494;7272864.298009
495;7272864.298009
496;7272864.298009
497;7272863.705388
498;7272863.705388
499;7272863.224244
500;7272860.273346
501;7272860.273346
502;7272859.894748
503;7272859.894748
504;7272859.894748
505;7272859.434682
506;7272859.434682
507;7272859.369688
508;7272859.193415
509;7272858.829101
510;7272858.829101
511;7272858.829101
512;7272858.829101
513;7272858.829101
514;7272858.829101
515;7272858.829101
516;7272858.829101
517;7272858.829101
518;7272858.829101
519;7272858.829101
520;7272858.829101
521;7272858.829101
522;7272858.829101
523;7272858.829101
524;7272858.829101
525;7272858.829101
526;7272858.540361
527;7272858.149134
528;7272858.027396
529;7272857.129026
530;7272856.466767
531;7272856.433332
532;7272856.243141
533;7272855.905794
534;7272855.905794
535;7272855.645828
536;7272855.558074
